Kanal,Analiz Türü,Başlık,Title Structure,Keywords,Açıklama
AlexHormozi,latest,What We Pay Our Employees,question,"pay, employees","Download your free scaling roadmap here: https://www.acquisition.com/roadmap
The easiest business I can help you start (free trial): https://www.skool.com/games

If you’re new to my channel, my name is Alex Hormozi. I’m the founder and managing partner of Acquisition.com. It’s a family office, which is just a formal way of saying we invest our own money into companies. Our 10 portfolio companies bring in over $250,000,000+ per year. Our ownership stake varies between 20% and 100% of them. Given this is a YT channel, and anyone can claim anything, I’ll give you some stuff you can google to verify below.

How I got here…

21: Graduated Vanderbilt in 3 years Magna Cum Laude, and took a fancy consulting job.
23 yrs old: Left my fancy consulting job to start a business (a gym).
24 yrs old: Opened 5 gym locations.
26 yrs old: Closed down 6th gym. Lost everything. 
26 yrs old: Got back to launching gyms (launched 33). Then, lost everything for a 2nd time. 
26 yrs old: In desperation, started licensing model as a hail mary. It worked. 
27 yrs old: ""Gym Launch"" does $3M profit the next 6 months. Then $17M profit next 12 months.
28 yrs old: Started Prestige Labs. $20M the first year.  
29 yrs old: Launched ALAN, a software company for agencies to work leads for customers. Scaled to $1.7mmo within 6 months. 
31 yrs old: Sold 75% of UseAlan to a strategic buyer in an all stock deal. 
31 yrs old: Sold 66% of Gym Launch & Prestige Labs at $46.2M valuation in all-cash deal to American Pacific Group. (you can google it)
31 yrs old: Started our family office Acquisition.com. We invest and scale companies using the $42M in distributions we had taken + the cash from the $46.2M exit.
32 yrs old: Started making free content showing how we grow companies to make real business education accessible to everyone (and) to attract business owners to invest or scale their businesses. 
34 yrs old: I became co-owner of https://Skool.com to help the many people who want to start a business online do so.

Today: Our portfolio now does $200M/yr between 10 companies. The largest doing $100M/yr the smallest doing $5M per year. Our ownership varies between 20% and 100% ownership of the companies. Many of them we invested in early and helped grow (which is how we make our money - not youtube videos).

To all the gladiators in the arena, we’re all in the middle of writing our own stories. The worse the monsters, the more epic the story.

You either get an epic outcome or an epic story. Both mean you win. 

Keep crushing. May your desires be greater than your obstacles. 

Never quit,

Alex

DISCLOSURE 
Information shared here is for educational purposes only.  Individuals and business owners should evaluate their own business strategies, and identify any potential risks.  The information shared here is not a guarantee of success. Your results may vary.
Copyright © 2025."
AlexHormozi,latest,Business Was Hard Until I Learned This,guest,"business, was, hard, until, i, learned","Download your free scaling roadmap here: https://www.acquisition.com/roadmap
The easiest business I can help you start (free trial): https://www.skool.com/games

If you’re new to my channel, my name is Alex Hormozi. I’m the founder and managing partner of Acquisition.com. It’s a family office, which is just a formal way of saying we invest our own money into companies. Our 10 portfolio companies bring in over $250,000,000+ per year. Our ownership stake varies between 20% and 100% of them. Given this is a YT channel, and anyone can claim anything, I’ll give you some stuff you can google to verify below.

How I got here…

21: Graduated Vanderbilt in 3 years Magna Cum Laude, and took a fancy consulting job.
23 yrs old: Left my fancy consulting job to start a business (a gym).
24 yrs old: Opened 5 gym locations.
26 yrs old: Closed down 6th gym. Lost everything. 
26 yrs old: Got back to launching gyms (launched 33). Then, lost everything for a 2nd time. 
26 yrs old: In desperation, started licensing model as a hail mary. It worked. 
27 yrs old: ""Gym Launch"" does $3M profit the next 6 months. Then $17M profit next 12 months.
28 yrs old: Started Prestige Labs. $20M the first year.  
29 yrs old: Launched ALAN, a software company for agencies to work leads for customers. Scaled to $1.7mmo within 6 months. 
31 yrs old: Sold 75% of UseAlan to a strategic buyer in an all stock deal. 
31 yrs old: Sold 66% of Gym Launch & Prestige Labs at $46.2M valuation in all-cash deal to American Pacific Group. (you can google it)
31 yrs old: Started our family office Acquisition.com. We invest and scale companies using the $42M in distributions we had taken + the cash from the $46.2M exit.
32 yrs old: Started making free content showing how we grow companies to make real business education accessible to everyone (and) to attract business owners to invest or scale their businesses. 
34 yrs old: I became co-owner of https://Skool.com to help the many people who want to start a business online do so.

Today: Our portfolio now does $200M/yr between 10 companies. The largest doing $100M/yr the smallest doing $5M per year. Our ownership varies between 20% and 100% ownership of the companies. Many of them we invested in early and helped grow (which is how we make our money - not youtube videos).

To all the gladiators in the arena, we’re all in the middle of writing our own stories. The worse the monsters, the more epic the story.

You either get an epic outcome or an epic story. Both mean you win. 

Keep crushing. May your desires be greater than your obstacles. 

Never quit,

Alex

DISCLOSURE 
Information shared here is for educational purposes only.  Individuals and business owners should evaluate their own business strategies, and identify any potential risks.  The information shared here is not a guarantee of success. Your results may vary.
Copyright © 2025."
AlexHormozi,latest,I Want People Who Want To Win,guest,"want, i, people, who, win","Download your free scaling roadmap here: https://www.acquisition.com/roadmap
The easiest business I can help you start (free trial): https://www.skool.com/games

If you’re new to my channel, my name is Alex Hormozi. I’m the founder and managing partner of Acquisition.com. It’s a family office, which is just a formal way of saying we invest our own money into companies. Our 10 portfolio companies bring in over $250,000,000+ per year. Our ownership stake varies between 20% and 100% of them. Given this is a YT channel, and anyone can claim anything, I’ll give you some stuff you can google to verify below.

How I got here…

21: Graduated Vanderbilt in 3 years Magna Cum Laude, and took a fancy consulting job.
23 yrs old: Left my fancy consulting job to start a business (a gym).
24 yrs old: Opened 5 gym locations.
26 yrs old: Closed down 6th gym. Lost everything. 
26 yrs old: Got back to launching gyms (launched 33). Then, lost everything for a 2nd time. 
26 yrs old: In desperation, started licensing model as a hail mary. It worked. 
27 yrs old: ""Gym Launch"" does $3M profit the next 6 months. Then $17M profit next 12 months.
28 yrs old: Started Prestige Labs. $20M the first year.  
29 yrs old: Launched ALAN, a software company for agencies to work leads for customers. Scaled to $1.7mmo within 6 months. 
31 yrs old: Sold 75% of UseAlan to a strategic buyer in an all stock deal. 
31 yrs old: Sold 66% of Gym Launch & Prestige Labs at $46.2M valuation in all-cash deal to American Pacific Group. (you can google it)
31 yrs old: Started our family office Acquisition.com. We invest and scale companies using the $42M in distributions we had taken + the cash from the $46.2M exit.
32 yrs old: Started making free content showing how we grow companies to make real business education accessible to everyone (and) to attract business owners to invest or scale their businesses. 
34 yrs old: I became co-owner of https://Skool.com to help the many people who want to start a business online do so.

Today: Our portfolio now does $200M/yr between 10 companies. The largest doing $100M/yr the smallest doing $5M per year. Our ownership varies between 20% and 100% ownership of the companies. Many of them we invested in early and helped grow (which is how we make our money - not youtube videos).

To all the gladiators in the arena, we’re all in the middle of writing our own stories. The worse the monsters, the more epic the story.

You either get an epic outcome or an epic story. Both mean you win. 

Keep crushing. May your desires be greater than your obstacles. 

Never quit,

Alex

DISCLOSURE 
Information shared here is for educational purposes only.  Individuals and business owners should evaluate their own business strategies, and identify any potential risks.  The information shared here is not a guarantee of success. Your results may vary.
Copyright © 2025."
DanLok,top,Do You Work Well Under Pressure? Learn How To Answer This Interview Question,question,"do, work, well, under, pressure, learn, answer, interview, question","Compress Decades Into Days. Get Dan Lok’s World-Class Training Solutions to Grow Your Income, Influence and Wealth Today. Start Here ► http://danlok-shop.danlok.link

Do you work well under pressure? - How can you answer this interview question confidently? Watch this video to find out what to avoid and what to do when the interviewer asks this interview question. Then, share this video with a fellow job-searcher.

▬▬▬▬▬▬▬▬▬▬ Video Highlights ▬▬▬▬▬▬▬▬▬▬
0:00 - Do You Work Well Under Pressure? Learn How To Answer This Interview Question
1:35 - How To Answer This Question
3:40 - Key Points You Should Have In Your Answer
5:24 - Overview 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

Experience Dan Lok Live (In Person Or Virtual) And Discover The Secrets To Scaling Your Business
Join Us ► https://danlok.com/events

#InterviewAdvice #WorkUnderPressure #InterviewQuestions #Advice #Employee

This video is about Do You Work Well Under Pressure? Learn How To Answer This Interview Question. 
https://youtu.be/lfY-Glap8DI"
DanLok,top,Watch This Video Before Every Sales Call - Sales Motivation,guest,"sales, watch, video, before, every, call, motivation","Do You Want To Attract High Ticket Clients with Ease?
Start here ► http://highticketclientsbootcamp.danlok.link

To sell something, it’s not enough to have a script or use a certain technique. You also need the right tonality, and delivery, and, most importantly, you have to believe in what you are selling. Watch this video before every sale call to enter the conversation with the right frame of mind. 

Want To Know How I Built a Massive Social Following?
See ► http://millionfollowersbootcamp.danlok.link

Would You Like To Know How To Almost Effortlessly Close High-Ticket Programs and Services?
Go ► http://highticketclosingbootcamp.danlok.link

Experience Dan Lok Live (In-Person Or Virtual) And Discover The Secrets To Scaling Your Business ►http://danlok.com/events

#HighAchiever #SalesCall #Motivation  #MotivationalQuote #Mindset

This video is about Watch This Video Before Every Sales Call - Sales Motivation. 

https://youtu.be/bDk8yAPxAQ0"
DanLok,top,“What Kind Of Work Environment Do You Like?” Best Answer To This Interview Question,question,"kind, work, environment, do, like, best, answer, interview, question","Compress Decades Into Days. Get Dan Lok’s World-Class Training Solutions to Grow Your Income, Influence and Wealth Today. Start Here ► http://danlok-shop.danlok.link

Experience Dan Lok Live (In Person Or Virtual) And Discover The Secrets To Scaling Your Business
Join Us ► https://danlok.com/events

What kind of work environment do you like? This is a common question during job interviews. Discover the 3 best ways to answer this question and one mistake many people make when answering this question. Plus, after watching this video, you'll also understand why the interviewer is asking this question.

▬▬▬▬▬▬▬▬▬▬ Video Highlights ▬▬▬▬▬▬▬▬▬▬
0:00 - Intro: What Kind Of Work Environment Do You Like?
1:00 - Why Do Interviewers Ask This Question? 
3:15 - Answer #1
5:27 - Answer #2 (Management Position)
6:03 - Answer #3 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬


#BestAnswer #InterviewQuestions #WorkEnvironment #CareerAdvice #InterviewAdvice

This video is about What Kind Of Work Environment Do You Like?
https://youtu.be/yhCYdp5KxMs"
DanLok,top,What Can You Do That No One Else Can? Learn How To Answer This Interview Question,question,"can, do, no, one, else, learn, answer, interview, question","Compress Decades Into Days. Get Dan Lok’s World-Class Training Solutions to Grow Your Income, Influence and Wealth Today. Start Here ► http://danlok-shop.danlok.link

When the interviewer asks ""what can you do that no one else can?"" chances are they are looking at you and a few other remaining candidates. So how can you make sure to stand out without bragging? Watch this video to find out.

▬▬▬▬▬▬▬▬▬▬ Video Highlights ▬▬▬▬▬▬▬▬▬▬
0:00 - Intro:  What Can You Do That No One Else Can? Learn How To Answer This Interview Question
1:17 - Focus On Your Unique Skillsets 
2:58 - How You Would Benefit Them
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

Experience Dan Lok Live (In Person Or Virtual) And Discover The Secrets To Scaling Your Business
Join Us ► https://danlok.com/events

#Employee #InterviewQuestions #Skillset #JobInterview #CareerAdvice #InterviewAdvice

This video is about What Can You Do That No One Else Can? Learn How To Answer This Interview Question. 
https://youtu.be/k7OTBJsmpZE"
DanLok,top,How To Start An Online Business,question,"start, online, business","Compress Decades Into Days. Get Dan Lok’s World-Class Training Solutions to Grow Your Income, Influence and Wealth Today. Start Here ► http://danlok-shop.danlok.link

So, you want to start an online business. But where to start? What should you sell? What else do you have to consider? In this video, Dan Lok shares the 2 things you can sell online, as well as the 3 questions you have to ask yourself before starting an online business. 

Experience Dan Lok Live (In Person Or Virtual) And Discover The Secrets To Scaling Your Business
Join Us ► https://danlok.com/events

▬▬▬▬▬▬▬▬▬▬ Video Highlights ▬▬▬▬▬▬▬▬▬▬
0:00 - Intro - How To Start An Online Business
0:45 - 3 Most Important Questions To Ask Before Starting A Business
3:18 - How To Find Trending Products To Sell 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

#eCommerce #OnlineBusiness #Alibaba #HowTo #StartABusiness

This video is about How To Start An Online Business. 
https://youtu.be/LQ_Dc1DNRt4"
DanLok,top,From Minority To Multi-Millionaire: The True Story of Dan Lok,storytelling,"minority, true, story, dan, lok","For a limited time, you can get a copy of Dan’s free best-selling book F.U. Money: http://high-ticket.danlok.link/xia3jh

Compress Decades Into Days. Get Dan Lok’s World-Class Training Solutions to Grow Your Income, Influence and Wealth Today. Start Here ► http://danlok-shop.danlok.link

Everybody has a story and this time Dan is going to tell his own story. About his move from Hong Kong to Vancouver. About his business failures and about his eventual success. Everything and anything.

Dan doesn't want to brag. In fact, he doesn't like it at all. This story is meant for you. To inspire you. To maybe give inspiration or motivation. 

Experience Dan Lok Live (In Person Or Virtual) And Discover The Secrets To Scaling Your Business
Join Us ► https://danlok.com/events

#DanLok #TrueStory #Personal


This video is about From Minority To Multi-Millionaire: The True Story of Dan Lok
https://youtu.be/5d_3g-b8kTc"
DanLok,top,The Psychology Of Greatness | Dan Peña Motivation,other,"psychology, greatness, dan, peña, motivation","Compress Decades Into Days. Get Dan Lok’s World-Class Training Solutions to Grow Your Income, Influence and Wealth Today. Start Here ► http://danlok-shop.danlok.link

Dan Pena, the Trillion Dollar Man, mentored Dan Lok since he was 22 years old. In this speech, Dan Pena reveals the psychology of greatness. What does it mean when we say ""success leaves clues?"" Watch the full video to find out.

Experience Dan Lok Live (In Person Or Virtual) And Discover The Secrets To Scaling Your Business
Join Us ► https://danlok.com/events

#DanLok #PyschologyOfGreatness #DanPeña #Great #Mindset #RichPeople #BillionaireMindset #MillionaireMindset

This video is about The Psychology Of Greatness | Dan Peña. 

https://youtu.be/UToudQ9_PZM"
DanLok,top,"When Client Says, ""Your Price Is Too High"" - How To Respond Sales Role Play",question,"when, client, says, price, too, high, respond, sales, role, play","Come meet Dan Lok at the High Ticket Mastery™. Seats are still available for a limited time! Reserve your spot at http://high-ticket.danlok.link/6mzrbv and get the most up-to-date high ticket secrets and scale your business in person, LIVE, with Dan Lok.

The event was described as “Worth Millions”, “Life Changing”, “Mind Blowing”, “Got My Money's Worth Just From Day 1” and “The Absolute Best Event I Have Ever Been To”.

Experts, coaches, and consultants come from all over the world to grow, network, strategize and take their businesses to the next level...

See you at the next High Ticket Mastery™! 
http://high-ticket.danlok.link/6mzrbv"
DanLok,top,"Clients Say “It’s Too Expensive”,  And You Say…",guest,"clients, say, s, too, expensive","Do You Want To Attract High Ticket Clients with Ease?
Start here ► http://highticketclientsbootcamp.danlok.link

""It's too expensive"" is one of the most common objections you'll face when closing sales or deals. But there is actually an easy way to handle it. Watch this video to find out how. Then, share this video with a friend.

Want To Know How I Built a Massive Social Following?
See ► http://millionfollowersbootcamp.danlok.link

Would You Like To Know How To Almost Effortlessly Close High-Ticket Programs and Services?
Go ► http://highticketclosingbootcamp.danlok.link

Experience Dan Lok Live (In-Person Or Virtual) And Discover The Secrets To Scaling Your Business ►http://danlok.com/events

#ClientSays #ObjectionHandling #Sales #Advice #SalesAdvice

This video is about Clients Say “It’s Too Expensive”,  And You Say…
https://youtu.be/sGtOk4jRFBc"
DanLok,top,Live Sales Role Playing At High Ticket Mastery With Dan Lok Part 1,guest,"live, sales, role, playing, high, ticket, mastery, dan, lok, part","Want to know how to close in real life, real case instead of just from knowing how to do in concept? 
Let's have a look on how Dan coached the attendee from real estate industry by the live sales role playing at High Ticket Mastery.

High Ticket Mastery was described as “Worth Millions”, “Life Changing”, “Mind Blowing”, “Got My Money's Worth Just From Day 1” and “The Absolute Best Event I Have Ever Been To”.Experts, coaches and consultants come from all over the world to grow, network, strategize and take their business to the next level.

► Come meet Dan Lok at the High Ticket Mastery™. Seats are still available for a limited time! Reserve your spot at http://high-ticket.danlok.link/e4rwqs

0:00 Intro
0:30 Role play starts
20:00 Attendee feedback"
DanLok,top,How To Get Your First Client (Without A Portfolio) #Shorts,question,"get, first, client, without, portfolio, shorts","Compress Decades Into Days. Get Dan Lok’s World-Class Training Solutions to Grow Your Income, Influence and Wealth Today. Start Here ► http://danlok-shop.danlok.link

Are you struggling to get your first client without a portfolio? In this episode of AskDan I go over how to land your first client. #shorts

Experience Dan Lok Live (In Person Or Virtual) And Discover The Secrets To Scaling Your Business
Join Us ► https://danlok.com/events

#Client #FirstClient #HowTo

This video is about How To Get Your First Client (Without A Portfolio) #Shorts
https://youtu.be/y4kAJVRRioA"
DanLok,top,Actual Live Sales Call With Dan Lok #shorts,guest,"actual, live, sales, call, dan, lok, shorts","Compress Decades Into Days. Get Dan Lok’s World-Class Training Solutions to Grow Your Income, Influence and Wealth Today. Start Here ► http://danlok-shop.danlok.link

How does an actual sales call look like? In this video, The King of High Ticket Sales™, Dan Lok demonstrates how to handle price objections, and close the deal in a short call while keeping control of the conversation.

Experience Dan Lok Live (In Person Or Virtual) And Discover The Secrets To Scaling Your Business
Join Us ► https://danlok.com/events

This video is about Actual Live Sales Call With Dan Lok #shorts
https://youtu.be/lVunKB8De-8"
DanLok,top,How To Really Sell High Ticket Products And Services,question,"really, sell, high, ticket, products, services","►Try Kajabi FREE for 30 days and get thousands of dollars worth of exclusive bonuses:
http://high-ticket.danlok.link/ox3fwe

►Download Your $100 Million High Ticket Coaching and Consulting Cheatsheet for Free
http://high-ticket.danlok.link/smmvzp

►Do You Want To Attract More High Ticket Clients with Ease?
http://high-ticket.danlok.link/832hm9

►Discover How Thousands of Entrepreneurs Scaled their Business.
http://high-ticket.danlok.link/py8m4b

►Come see me live to Add a Zero™ to your business at the most prestigious high ticket event of the year.
http://high-ticket.danlok.link/9s6ior

#highticketexpert #highticket #highticketclosing #highticketsales #highticketcoach 

This video is about How To Really Sell High Ticket Products And Services

► Follow Dan on Social Media
Instagram: https://www.instagram.com/danlok/
Facebook: https://www.facebook.com/DanLokOfficial
Twitter: https://twitter.com/danlok
Tiktok: https://www.tiktok.com/@danlokofficial
Podcast:  http://high-ticket.danlok.link/65zbp0"
DanLok,top,STOP WASTING TIME,other,"stop, wasting, time","Compress Decades Into Days. Get Dan Lok’s World-Class Training Solutions to Grow Your Income, Influence and Wealth Today. Start Here ► http://danlok-shop.danlok.link

Wanting to help others is a worthwhile goal - and yet you can only help one person at a time. If you want to make a true impact in this world you need to stop wasting your time and find ways to automate your help. Watch this video for Dan Lok's top tips on how to stop wasting your time and do high-impact activities instead.

Experience Dan Lok Live (In Person Or Virtual) And Discover The Secrets To Scaling Your Business
Join Us ► https://danlok.com/events

#Advice #StopWastingTime #Motivation 

This video is about STOP WASTING TIME.

https://youtu.be/OQtwa4M9alI
https://youtu.be/OQtwa4M9alI"
DanLok,top,4 PROVEN Ways To Make Money #shorts,listicle,"proven, ways, make, money, shorts","Compress Decades Into Days. Get Dan Lok’s World-Class Training Solutions to Grow Your Income, Influence and Wealth Today. Start Here ► http://danlok-shop.danlok.link

Experience Dan Lok Live (In Person Or Virtual) And Discover The Secrets To Scaling Your Business
Join Us ► https://danlok.com/events

You can money as a worker. Either by working for an employer or working for yourself. And what can you do to maximize the money that you make? Watch the video now to find out.

Do You Have Any Questions You Want To Ask Me About Business, Consulting, or Influencing?   Every week I will be answering YOUR questions in my new weekly series Ask Dan,  I will pick the BEST questions I receive in these 3 categories. Leave a comment with your question below. 👇 


#4Ways #ToMakeMoney #Advice


This video is about 4 PROVEN Ways To Make Money
https://youtu.be/eYYPrVkOPPk"
DanLok,top,What Do The Rich Buy?,question,"do, rich, buy","► Subscribe to our High Ticket Expert show:
http://www.highticketexpert.com/subsc...

The Rich tend to spend their money differently. But how exactly? Dan is going to explain in this video exactly how the rich spend their money.

Want To Know How I Built a Massive Social Following?
See ► http://millionfollowers-bootcamp.danlok.link

Do You Want To Attract High Ticket Clients with Ease?
Start here ► http://highticketclients-bootcamp.danlok.link

Would You Like To Know How To Almost Effortlessly Close High-Ticket Programs and Services?
Go ► http://highticketclosing-bootcamp.danlok.link

Experience Dan Lok Live (In-Person Or Virtual) And Discover The Secrets To Scaling Your Business ►http://danlok.com/events

#Rich #Lifestyle #SpendingMoney

This video is about What Do The Rich Buy?
https://youtu.be/7CM-811YHa0"
DanLok,top,"Chase Mastery, Not Money",contrast,"chase, mastery, not, money","Compress Decades Into Days. Get Dan Lok’s World-Class Training Solutions to Grow Your Income, Influence and Wealth Today. Start Here ► http://danlok-shop.danlok.link

There’s a saying, money follows mastery, and I’m a big believer in that. You see, most people in life focus on the result instead of the journey, and even if they make some money, I can guarantee you that they never reach their full potential.

Take sales for example, the ones that focus on the sale and the money, will rarely (if never) outperform the ones who focus on the prospect's needs and changing lives, that’s just a fact.

Watch this video now to discover what it means to achieve mastery and to fully reach your potential.

Experience Dan Lok Live (In Person Or Virtual) And Discover The Secrets To Scaling Your Business
Join Us ► https://danlok.com/events

#ChaseMastery #MasterSkills #LifeAdvice

This video is about Chase Money Not Mastery
https://youtu.be/rjJJDqKaFgY

0:00 Introduction
0:07 CHASE MASTERY NOT MONEY
0:44 THEY FOCUS ON THE PROSPECTS
2:25 OH IT GETS HARD...
3:04 YOU NEED TO DEAL WITH PEOPLE
3:08 COMUNICATION CLOSING SKILL
3:33 IN COMUNICATION, IN SALES, IN CLOSING , IN INFLUENCE.
3:38 IN ALL OTHER AREAS OF YOUR LIFE
3:41 IT MAKES EVERYTHING ELSE EASIER
4:13 YOU NEED TO LEARN HOW TO CLOSE
4:59 CLOSING SKILL AMPLIFIES EVERYTHING ELSE
5:29 BETTER SPEAKER
5:33 BETTER MENTOR
5:36 BETTER INVESTOR
5:50 GO BACK TO THE BASICS
6:49 1 SKILL EVERY QUARTER
6:56 CHASING MASTERY
8:07 DON'T FOCUS ON THE MONEY FOCUS ON THE MASTERY"
DanLok,top,9 Books Every Aspiring Millionaire Must Read #shorts,other,"books, every, aspiring, millionaire, must, read, shorts","Compress Decades Into Days. Get Dan Lok’s World-Class Training Solutions to Grow Your Income, Influence and Wealth Today. Start Here ► http://danlok-shop.danlok.link

For years, Dan has been getting thousands of messages asking, “Dan, what books do you recommend I read?” And although Dan is very careful to recommend books because it depends on each person’s goals, here are the 9 books every aspiring millionaire must read to become successful and rich fast. 

Rich Dad Poor Dad - https://amzn.to/3l2GlA2
Principles - https://amzn.to/3r4iC60
The Success System That Never Fails - https://amzn.to/3l2H6Jo
Unlock It - https://amzn.to/3JemcBx 
Poor Charlie's Almanack - https://amzn.to/32mv9rb
The Richest Man In Babylon - https://amzn.to/2Zgd2lE
The Little Book of Common Sense Investing - https://amzn.to/3oXcbiy
How To Be Rich - https://amzn.to/3nI8gH8
The Latte Factor - https://amzn.to/3l2vDcL

Purchases made through some links may provide some compensation to Dan Lok Education.

Experience Dan Lok Live (In Person Or Virtual) And Discover The Secrets To Scaling Your Business
Join Us ► https://danlok.com/events

This video is about 9 Books Every Aspiring Millionaire Must Read #shorts
https://youtu.be/gse1rX7UAHg"
DanLok,top,A Day in the life as a CEO - Dan Lok HQ,other,"day, life, ceo, dan, lok, hq","Compress Decades Into Days. Get Dan Lok’s World-Class Training Solutions to Grow Your Income, Influence and Wealth Today. Start Here ► http://danlok-shop.danlok.link

What does a CEO do in a day? What happens in the life of a CEO? Take a peek behind the scenes and see what happened at the last Dan Lok HQ team meeting. Do you want to be a CEO? Comment below.

Experience Dan Lok Live (In Person Or Virtual) And Discover The Secrets To Scaling Your Business
Join Us ► https://danlok.com/events

#Business #DayInTheLife #CEO #BusinessAdvice

This video is about A Day in the life as a CEO - Dan Lok HQ. 
https://youtu.be/Htbl-7gRqAo"
DanLok,top,What I Learned After Gaining 8 Million Followers On Social Media,question,"i, learned, after, gaining, million, followers, social, media","Compress Decades Into Days. Get Dan Lok’s World-Class Training Solutions to Grow Your Income, Influence and Wealth Today. Start Here ► http://danlok-shop.danlok.link

Whether you are an influencer, a content creator,  a business owner, or get a little bit of frame after getting over 8 million followers across social media. 

Here are some of the lessons I would like to share with you. If you're thinking about being an influencer or being on social media and I want to give you a little bit of warning upfront: This video is not politically correct. I'm just going to share with you what I have learned during this whole process going from nobody to now being a global personal brand.

Experience Dan Lok Live (In Person Or Virtual) And Discover The Secrets To Scaling Your Business
Join Us ► https://danlok.com/events

#8Million #Followers #SocialMedia

This video is about What I Have Learned After Gaining 8 Million Followers On Social Media

https://youtu.be/rYMMO-EkXE0"
DanLok,latest,How to Ask for Referrals and Actually Get Them,question,"ask, referrals, actually, get, them","► Get Your FREE EBook of Dan's Bestseller F.U. Money here: https://high-ticket.danlok.link/9e4a8y

►Download Your $100 Million High Ticket Coaching and Consulting Cheatsheet for Free https://high-ticket.danlok.link/f7l1dg

►Do You Want To Attract More High Ticket Clients with Ease? https://high-ticket.danlok.link/6m7ais

►Discover How Thousands of Entrepreneurs Scaled their Business. https://high-ticket.danlok.link/jqur1u

►Discover the only 7 questions you will ever need for your high ticket offers.  
https://high-ticket.danlok.link/3u6lcd

►Join Dan Lok As He Unveils The Secrets To Transforming Any Offer Into A 7 Or 8 Figure High Ticket Offer. https://high-ticket.danlok.link/o1hgce

#highticketexpert #highticket #highticketclosing #highticketsales #highticketcoach 

Most people ask for referrals the wrong way — and that’s why they rarely get them. In this video, Dan Lok shares 10 powerful, word-for-word scripts you can use to generate more high-quality referrals without sounding needy or awkward.

You'll learn:

When to ask (hint: it’s not when you think)

How to plant a “referral seed” that leads to easy follow-ups

Why future pacing and using your prospect’s exact words can make all the difference

How to close referrals just like you close a sale

Whether you’re in real estate, marketing, coaching, or any service-based business — these strategies will help you turn happy clients into referral machines.

► Follow Dan on Social Media
Instagram: https://www.instagram.com/danlok/
Facebook: https://www.facebook.com/DanLokOfficial
Twitter: https://twitter.com/danlok
Tiktok: https://www.tiktok.com/@danlokofficial
Podcast: https://podcasts.apple.com/ca/podcast/billion-dollar-startup/id1667476587"
DanLok,latest,How To Get Customers So Fast It Feels ILLEGAL,question,"get, customers, so, fast, feels, illegal","► Get Your FREE EBook of Dan's Bestseller F.U. Money here: https://high-ticket.danlok.link/ai2vva

►Download Your $100 Million High Ticket Coaching and Consulting Cheatsheet for Free https://high-ticket.danlok.link/7x24j2

►Do You Want To Attract More High Ticket Clients with Ease? https://high-ticket.danlok.link/jz2kjl

►Discover How Thousands of Entrepreneurs Scaled their Business. https://high-ticket.danlok.link/k7rep1

►Discover the only 7 questions you will ever need for your high ticket offers.  
https://high-ticket.danlok.link/a5o5jt

►Join Dan Lok As He Unveils The Secrets To Transforming Any Offer Into A 7 Or 8 Figure High Ticket Offer. https://high-ticket.danlok.link/wbed5s

#highticketexpert #highticket #highticketclosing #highticketsales #highticketcoach 

Most entrepreneurs and service providers struggle to get referrals — not because they’re bad at what they do, but because they’re unknowingly creating friction in the process.

In this clip, Dan Lok breaks down the 3 biggest hidden referral barriers that keep your best clients from sending you business… even when they want to. From misunderstanding relational capital to expecting clients to become your unpaid sales team, Dan exposes the flawed thinking that sabotages your growth.

More importantly, you’ll learn a simple, high-leverage strategy to flip the script — one that removes pressure from your clients and makes referring you feel natural, effortless, and even rewarding.

If you want to grow fast without chasing, begging, or cold pitching… this is the mindset shift you’ve been missing.

► Follow Dan on Social Media
Instagram: https://www.instagram.com/danlok/
Facebook: https://www.facebook.com/DanLokOfficial
Twitter: https://twitter.com/danlok
Tiktok: https://www.tiktok.com/@danlokofficial
Podcast: https://podcasts.apple.com/ca/podcast/billion-dollar-startup/id1667476587


Chapter"
